Szó,Szófajok
a,főnév|névmás|névelő|indulatszó
á,főnév|indulatszó
abajgat,ige
abál,ige
abaposztó,főnév
abárol,ige
abba,névmás|igekötő
abbahagy,ige
abbamarad,ige
abban,névmás
abbeli,névmás
abból,névmás
abcúg,főnév|indulatszó
abcugol,ige
ábécé,főnév
ábécérend,főnév
ábécés,főnév|melléknév
ábécéskönyv,főnév
abesszin,főnév|melléknév
ablak,főnév
ablakbélés,főnév
ablakdeszka,főnév
ablakfiók,főnév
ablakfülke,főnév
ablakkeret,főnév
ablakkosár,főnév
ablakmélyedés,főnév
ablaknyílás,főnév
ablakos,főnév|melléknév
ablakoz,ige
ablakpárkány,főnév
ablakpárna,főnév
ablakrács,főnév
ablakredőny,főnév
ablakrózsa,főnév
ablakszárny,főnév
ablakszem,főnév
ablaktábla,főnév
ablaktok,főnév
ablaktörlő,főnév|melléknév
ablaküveg,főnév
ablakvasalás,főnév
ablakzat,főnév
abnormális,melléknév
abnormis,melléknév
abonál,ige
abonens,főnév
abortál,ige
abortusz,főnév
ábra,főnév
abrak,főnév
abrakadabra,főnév
abrakol,ige
abrakos,melléknév
ábránd,főnév
ábrándkép,főnév
ábrándos,melléknév
ábrándozás,főnév
ábrándozik,ige
ábrándvilág,főnév
ábrázat,főnév
ábrázol,ige
ábrázoló,főnév|melléknév
abroncs,főnév
abroncsol,ige
abroncsos,melléknév
abroncsoz,ige
abrosz,főnév
abszencia,főnév
abszint,főnév
abszolút,főnév|melléknév
abszolúte,határozószó
abszolutizmus,főnév
abszolutórium,főnév
abszolvál,ige
abszorpció,főnév
absztinens,főnév|melléknév
absztrakció,főnév
absztrakt,melléknév
abszurd,melléknév
abszurdum,főnév
acat,főnév
acél,főnév
acélhengermű,főnév
acélipar,főnév
acélkék,melléknév
acélkohó,főnév
acélmetszet,főnév
acélmű,főnév
acélos,melléknév
acélosodik,ige
acéloz,ige
acélrugó,főnév
acetilén,főnév
achát,főnév
ács,főnév
acsarkodik,ige
acsarog,ige
ácsceruza,főnév
ácsi,melléknév
ácsingózik,ige
ácskapocs,főnév
ácsmester,főnév
ácsmunka,főnév
ácsol,ige
ácsolás,főnév
ácsolat,főnév
ácsorog,ige
ad,ige
adag,főnév
adagol,ige
adagoló,főnév|melléknév
adakozás,főnév
adakozik,ige
adakozó,főnév|melléknév
adalék,főnév
ádámcsutka,főnév
ádámkosztüm,főnév
adandó,melléknév
adás,főnév
adásszünet,főnév
adásvétel,főnév
adásvételi,melléknév
adás-vevés,főnév
adat,ige|főnév
adatgyűjtés,főnév
adathalmaz,főnév
adatik,ige
adatszolgáltatás,főnév
adattár,főnév
ádáz,melléknév
addig,névmás|határozószó
addig-addig,határozószó
addigi,melléknév
addiglan,határozószó
adekvát,melléknév
adjisten,főnév
adjonisten,főnév
adjunktus,főnév
adjusztál,ige
adjutáns,főnév
adminisztráció,főnév
adminisztrál,ige
adminisztratív,melléknév
adminisztrátor,főnév
admirális,főnév
adó,főnév|melléknév
adóalany,főnév
adóalap,főnév
adóállomás,főnév
adóbehajtás,főnév
adóbélyeg,főnév
adóberendezés,főnév
adóbérlő,főnév
adóbevallás,főnév
adócsalás,főnév
adócső,főnév
adódik,ige
adóelengedés,főnév
adóellenőr,főnév
adóeltitkolás,főnév
adófelszólamlás,főnév
adófizetés,főnév
adófizető,főnév|melléknév
adóforrás,főnév
adófőkönyv,főnév
adogat,ige
adogató,főnév|melléknév
adóhátralék,főnév
adóhivatal,főnév
adóhivatalnok,főnév
adóintés,főnév
adóív,főnév
adójövedelem,főnév
adókedvezmény,főnév
adókészülék,főnév
adókivetés,főnév
adókönyv,főnév
adóköteles,főnév|melléknév
adókulcs,főnév
adólámpa,főnév
adoma,főnév
adomány,főnév
adománybirtok,főnév
adománylevél,főnév
adományos,főnév|melléknév
adományoz,ige
adomás,melléknév
adomázik,ige
adómentes,melléknév
adómorál,főnév
adónem,főnév
adóösszeírás,főnév
adópénztár,főnév
adóprés,főnév
adoptál,ige
adórendszer,főnév
adós,főnév|melléknév
adóslevél,főnév
adósság,főnév
adószedés,főnév
adószedő,főnév
adótárgy,főnév
adótartozás,főnév
adóteher,főnév
adótiszt,főnév
adott,melléknév
adottság,főnév
adóügy,főnév
adóügyi,melléknév
adóvégrehajtó,főnév
adó-vevő,főnév|melléknév
adózás,főnév
adózik,ige
adózó,főnév|melléknév
adóztat,ige
adresz,főnév
adresszál,ige
adta,főnév|melléknév|indulatszó
adta-teremtette,indulatszó
adtáz,ige
adu,főnév
aduttoz,ige
advent,főnév
adventi,melléknév
adventista,főnév|melléknév
ad-vesz,ige
aeolhárfa,főnév
aera,főnév
aerodinamika,főnév
aeroplán,főnév
aether,főnév
aethiop,főnév|melléknév
afelől,határozószó
affektáció,főnév
affektál,ige
affektív,melléknév
affektus,főnév
afféle,névmás
affér,főnév
affinitás,főnév
áfium,főnév
áfonya,főnév
aforizma,főnév
afrik,főnév
afrikai,főnév|melléknév
ág,főnév
aga,főnév
ágál,ige
agancs,főnév
agancsos,főnév|melléknév
agár,főnév
agarász,ige|főnév
agarászik,ige
ágas,főnév|melléknév
ágas-bogas,melléknév
ágasfa,főnév
ágaskodik,ige
agát,főnév
agavé,főnév
ágaz,ige
ágazat,főnév
ágazatos,melléknév
ágazik,ige
ágbog,főnév
ágbogas,melléknév
ágenda,főnév
ágens,főnév
ágfa,főnév
ágfűrész,főnév
agg,ige|főnév|melléknév
aggály,főnév
aggályos,melléknév
aggályoskodik,ige
aggastyán,főnév
aggaszt,ige
aggat,ige
aggaték,főnév
aggkor,főnév
agglegény,főnév
agglegényadó,főnév
aggodalmas,melléknév
aggodalmaskodik,ige
aggodalom,főnév
aggódás,főnév
aggódik,ige
aggófű,főnév
aggóskodik,ige
aggott,melléknév
aggság,főnév
aggszűz,főnév
ági,melléknév
agilis,melléknév
agitáció,főnév
agitációs,főnév|melléknév
agitál,ige
agitátor,főnév
agnoszkál,ige
agnoszticizmus,főnév
agnosztikus,főnév|melléknév
agónia,főnév
agonizál,ige
agrár,melléknév
agrárállam,főnév
